age_group,sex,feature,mean,std
0-3,female,RelAngl_MC3_MC2,12.949945774999998,1.8285035650239254
0-3,female,RelAngl_MC4_MC2,22.8871039,2.437262658675389
0-3,female,RelAngl_MC5_MC2,34.90713695,3.11118671696728
0-3,female,MC4_over_MC3,0.87982455,0.027833205573743323
0-3,female,PP_MC_1_quotient,0.733554575,0.03969557152003133
0-3,female,PD_MC_1_quotient,0.5884102500000001,0.05090720978546188
0-3,female,PP_MC_2_quotient,0.6579593,0.03512760838618726
0-3,female,PP_MC_3_quotient,0.7657018499999999,0.04039497928344878
0-3,female,PP_MC_4_quotient,0.82753435,0.05201124419532909
0-3,female,PP_MC_5_quotient,0.7111231499999999,0.044618044897086886
0-3,female,PM_MC_2_quotient,0.364306725,0.029595764381625495
0-3,female,PM_MC_3_quotient,0.48258910000000005,0.04342042350346797
0-3,female,PM_MC_4_quotient,0.5331794499999999,0.05329945363069652
0-3,female,PM_MC_5_quotient,0.380817475,0.05265599115399515
0-3,female,PD_MC_2_quotient,0.24539325,0.02779855644725607
0-3,female,PD_MC_3_quotient,0.29609620000000003,0.02330033644656396
0-3,female,PD_MC_4_quotient,0.348490925,0.02890699001119022
0-3,female,PD_MC_5_quotient,0.3091594,0.03878718538568621
0-3,female,Bone_area_Handsize_ratio,0.033811974999999994,0.0019162222649238114
0-3,female,spline_rel_bones_thumb,1.29699955,0.08664693453199777
0-3,female,spline_rel_bones_index,1.1899929,0.08097486194122222
0-3,female,spline_rel_bones_middle,1.165630525,0.07295043949991067
0-3,female,spline_rel_bones_ring,1.149035825,0.07329742644584444
0-3,female,spline_rel_bones_little,1.1325246750000002,0.09480114073677716
0-3,female,length_rel_allfingers_thumb,0.142105975,0.003449274107860067
0-3,female,length_rel_allfingers_index,0.22077390000000002,0.003201455172341605
0-3,female,length_rel_allfingers_middle,0.23497075,0.0022552203570769666
0-3,female,length_rel_allfingers_ring,0.221289925,0.0025396450124185784
0-3,female,length_rel_allfingers_little,0.18085939999999998,0.004101375027713111
0-3,female,Archibalds_Ratio,1.094989325,0.05227826242938126
0-3,female,Length_MC1,0.061824050000000005,0.003151190096309158
0-3,female,Length_MC2,0.098109175,0.003642368255277229
0-3,female,Length_MC3,0.09328510000000001,0.0032478838064981352
0-3,female,Length_MC4,0.082051975,0.0033594251529589616
0-3,female,Length_MC5,0.073187275,0.0035543741559358392
0-3,female,Length_PP1,0.0452665,0.001875408372622498
0-3,female,Length_PP2,0.0644584,0.002271214842664265
0-3,female,Length_PP3,0.07132514999999999,0.0022554276932518096
0-3,female,Length_PP4,0.06775375,0.002311727523092989
0-3,female,Length_PP5,0.051923750000000005,0.0020010319741419584
0-3,female,Length_PM2,0.035656025,0.0019869746812615293
0-3,female,Length_PM3,0.044894575000000006,0.0026086289442137506
0-3,female,Length_PM4,0.0436006,0.0028664585923292986
0-3,female,Length_PM5,0.0277536,0.0031084116382520052
0-3,female,Length_PD1,0.036252725,0.001993995936362652
0-3,female,Length_PD2,0.024011150000000002,0.0022790033871105896
0-3,female,Length_PD3,0.027568899999999997,0.0015962934599428795
0-3,female,Length_PD4,0.028525300000000003,0.0016574552505851574
0-3,female,Length_PD5,0.022551975000000002,0.0024025263144587337
0-3,female,Width_rel_all_widths_MC1,0.06964804999999999,0.00502217019669937
0-3,female,Width_rel_all_widths_MC2,0.05325992500000001,0.0028740094604656668
0-3,female,Width_rel_all_widths_MC3,0.05493165,0.0035323601505697763
0-3,female,Width_rel_all_widths_MC4,0.04786695,0.0031381395023002776
0-3,female,Width_rel_all_widths_MC5,0.05742225000000001,0.003693108528403152
0-3,female,Width_rel_all_widths_PP1,0.05636675,0.005377975768985472
0-3,female,Width_rel_all_widths_PP2,0.06761877499999999,0.002294959677736387
0-3,female,Width_rel_all_widths_PP3,0.07051874999999999,0.003391819750215026
0-3,female,Width_rel_all_widths_PP4,0.065029175,0.002538523070378946
0-3,female,Width_rel_all_widths_PP5,0.05341702499999999,0.0025839962142496283
0-3,female,Width_rel_all_widths_PM2,0.057931350000000006,0.0027807785254658998
0-3,female,Width_rel_all_widths_PM3,0.0655077,0.003118688072300225
0-3,female,Width_rel_all_widths_PM4,0.06145607500000001,0.003528835548387613
0-3,female,Width_rel_all_widths_PM5,0.0496927,0.002138327901745804
0-3,female,Width_rel_all_widths_PD1,0.0394165,0.006029329162837782
0-3,female,Width_rel_all_widths_PD2,0.032050274999999996,0.00323749800504839
0-3,female,Width_rel_all_widths_PD3,0.03704085,0.003062435670072652
0-3,female,Width_rel_all_widths_PD4,0.034822975,0.00269330542782732
0-3,female,Width_rel_all_widths_PD5,0.026002375,0.0024216460251559983
0-3,female,ProxmaxWidth_rel_all_widths_MC1,0.08788510000000001,0.0049556338402846475
0-3,female,ProxmaxWidth_rel_all_widths_MC2,0.079301225,0.005898358239581239
0-3,female,ProxmaxWidth_rel_all_widths_MC3,0.072204925,0.005418537565912516
0-3,female,ProxmaxWidth_rel_all_widths_MC4,0.0644759,0.004198354065766543
0-3,female,ProxmaxWidth_rel_all_widths_MC5,0.068569875,0.004818743810066197
0-3,female,ProxmaxWidth_rel_all_widths_PP1,0.075460975,0.004168295497962366
0-3,female,ProxmaxWidth_rel_all_widths_PP2,0.0933652,0.00552287103987382
0-3,female,ProxmaxWidth_rel_all_widths_PP3,0.094943175,0.00595177627822364
0-3,female,ProxmaxWidth_rel_all_widths_PP4,0.087853275,0.00586280456641481
0-3,female,ProxmaxWidth_rel_all_widths_PP5,0.078397375,0.005223185385731388
0-3,female,ProxmaxWidth_rel_all_widths_PM2,0.074599675,0.004892177080193885
0-3,female,ProxmaxWidth_rel_all_widths_PM3,0.08448395,0.0055715715177069285
0-3,female,ProxmaxWidth_rel_all_widths_PM4,0.079015025,0.004591365555695347
0-3,female,ProxmaxWidth_rel_all_widths_PM5,0.06003775,0.003958800975884829
0-3,female,ProxmaxWidth_rel_all_widths_PD1,0.05237507500000001,0.004318871893229551
0-3,female,ProxmaxWidth_rel_all_widths_PD2,0.043720524999999996,0.0033855973300748955
0-3,female,ProxmaxWidth_rel_all_widths_PD3,0.049811100000000004,0.003976358866588557
0-3,female,ProxmaxWidth_rel_all_widths_PD4,0.0482989,0.003518264452677536
0-3,female,ProxmaxWidth_rel_all_widths_PD5,0.035198275,0.0029711876584832325
0-3,female,DistmaxWidth_rel_all_widths_MC1,0.08243579999999999,0.0042609453459327125
0-3,female,DistmaxWidth_rel_all_widths_MC2,0.0821857,0.005781394482657499
0-3,female,DistmaxWidth_rel_all_widths_MC3,0.083617775,0.005629072886671618
0-3,female,DistmaxWidth_rel_all_widths_MC4,0.07020810000000001,0.00422951015409465
0-3,female,DistmaxWidth_rel_all_widths_MC5,0.06856015,0.004189108365750401
0-3,female,DistmaxWidth_rel_all_widths_PP1,0.06189990000000001,0.004874678549822805
0-3,female,DistmaxWidth_rel_all_widths_PP2,0.06995739999999999,0.00307583982111036
0-3,female,DistmaxWidth_rel_all_widths_PP3,0.07322005000000001,0.003518719930053236
0-3,female,DistmaxWidth_rel_all_widths_PP4,0.06794372500000001,0.002984170399578072
0-3,female,DistmaxWidth_rel_all_widths_PP5,0.05502005000000001,0.0024689867115987646
0-3,female,DistmaxWidth_rel_all_widths_PM2,0.056237575,0.0025422149729300517
0-3,female,DistmaxWidth_rel_all_widths_PM3,0.061362799999999995,0.002904407404141294
0-3,female,DistmaxWidth_rel_all_widths_PM4,0.058538225,0.002905356613333554
0-3,female,DistmaxWidth_rel_all_widths_PM5,0.04848585,0.0024226846472456954
0-3,female,DistmaxWidth_rel_all_widths_PD1,0.0341813,0.007482887568928908
0-3,female,DistmaxWidth_rel_all_widths_PD2,0.03454834999999999,0.003945137874487779
0-3,female,DistmaxWidth_rel_all_widths_PD3,0.04118904999999999,0.004762622332771662
0-3,female,DistmaxWidth_rel_all_widths_PD4,0.0413252,0.0039898111978979404
0-3,female,DistmaxWidth_rel_all_widths_PD5,0.028847974999999998,0.0036868524584855607
0-3,female,MinWidth_rel_all_widths_MC1,0.068210525,0.0049481387072338266
0-3,female,MinWidth_rel_all_widths_MC2,0.05139619999999999,0.0028175998533030433
0-3,female,MinWidth_rel_all_widths_MC3,0.05345105,0.0033158334370187053
0-3,female,MinWidth_rel_all_widths_MC4,0.04636835,0.0029693749368149207
0-3,female,MinWidth_rel_all_widths_MC5,0.05557967500000001,0.0035228712312798892
0-3,female,MinWidth_rel_all_widths_PP1,0.054161075,0.005342304819935172
0-3,female,MinWidth_rel_all_widths_PP2,0.06522062499999999,0.0022852916852206108
0-3,female,MinWidth_rel_all_widths_PP3,0.068547575,0.0032137933484495326
0-3,female,MinWidth_rel_all_widths_PP4,0.06307795000000001,0.002394270639437362
0-3,female,MinWidth_rel_all_widths_PP5,0.05121610000000001,0.002599867894079749
0-3,female,MinWidth_rel_all_widths_PM2,0.0547685,0.002529557790481295
0-3,female,MinWidth_rel_all_widths_PM3,0.0600981,0.002770825738258339
0-3,female,MinWidth_rel_all_widths_PM4,0.05712165,0.0030618104879470516
